word,rank,freq,pmw
だ,1,24822,48748.203
うん,2,22901,44975.5297
た,3,13071,25670.2829
ね,4,12739,25018.2644
て,5,11443,22473.0355
の,6,10624,20864.5923
そう,7,9252,18170.1061
の,8,8436,16567.5546
,9,8366,16430.0808
で,10,8018,15746.6397
よ,11,8002,15715.2172
が,12,7976,15664.1555
か,13,7617,14959.1114
は,14,7457,14644.8856
に,15,7403,14538.8344
も,16,7353,14440.6388
てる,17,7346,14426.8914
何,18,6774,13303.5343
と,19,6772,13299.6064
って,20,6519,12802.7369
ない,21,5990,11763.8279
言う,22,5591,10980.2273
為る,23,5497,10795.6197
から,24,5208,10228.0494
無い,25,4530,8896.5176
か,26,4455,8749.2243
あっ,27,3869,7598.3723
ああ,28,3770,7403.9451
の,29,3731,7327.3526
良い,30,3713,7292.0022
です,31,3432,6740.1431
けれど,32,3391,6659.6228
な,33,3369,6616.4167
其れ,34,3362,6602.6693
あの,35,3227,6337.5413
で,36,3192,6268.8044
さ,37,3140,6166.6811
有る,38,2916,5726.765
を,39,2822,5542.1573
もう,40,2795,5489.1317
御,41,2683,5269.1737
此れ,42,2666,5235.7872
行く,43,2620,5145.4473
遣る,44,2180,4281.3263
まあ,45,2175,4271.5068
はい,46,1968,3864.9772
思う,47,1900,3731.4312
いや,48,1892,3715.7199
えっ,49,1840,3613.5965
成る,50,1833,3599.8492
来る,51,1802,3538.9679
一寸,52,1769,3474.1589
さん,53,1713,3364.1798
事,54,1551,3046.0262
彼れ,55,1539,3022.4593
,56,1462,2871.2381
ちゃん,57,1440,2828.0321
つう,58,1431,2810.3569
一,59,1428,2804.4651
其の,60,1419,2786.7899
じゃん,61,1401,2751.4395
ます,62,1377,2704.3057
ちゃう,63,1366,2682.7027
みたい,64,1335,2621.8214
ええ,64,1335,2621.8214
こう,66,1333,2617.8936
凄い,67,1329,2610.0379
と,68,1308,2568.7958
居る,69,1275,2503.9867
分かる,70,1273,2500.0589
ん,70,1273,2500.0589
人,72,1255,2464.7085
見る,73,1244,2443.1055
から,74,1150,2258.4978
食べる,75,1131,2221.1835
今,76,1100,2160.3023
ふん,77,1097,2154.4106
私,78,1037,2036.5759
本当,79,1018,1999.2616
どう,80,979,1922.669
違う,81,976,1916.7773
くらい,82,946,1857.86
二,83,942,1850.0043
時,84,928,1822.5096
此の,85,880,1728.2418
や,86,825,1620.2267
ほら,87,819,1608.4432
し,88,807,1584.8763
十,89,801,1573.0928
れる,90,793,1557.3816
ば,91,772,1516.1394
け,92,769,1510.2477
へえ,93,764,1500.4281
矢張り,94,746,1465.0777
方,95,727,1427.7634
奴,96,725,1423.8356
俺,97,715,1404.1965
だけ,98,709,1392.413
此処,99,682,1339.3874
後,100,681,1337.4235
出る,101,664,1304.037
美味しい,102,657,1290.2896
三,103,654,1284.3979
もの,104,649,1274.5783
出来る,105,625,1227.4445
其処,106,620,1217.6249
その,107,611,1199.9497
たい,108,608,1194.058
何処,109,602,1182.2745
感じ,110,598,1174.4189
ず,111,570,1119.4294
まで,112,564,1107.6459
入る,113,560,1099.7903
彼の,114,529,1038.909
入れる,115,523,1027.1255
前,116,516,1013.3782
時,117,512,1005.5225
皆,118,511,1003.5586
知る,119,510,1001.5947
わ,120,502,985.8834
君,121,484,950.533
取る,122,481,944.6413
全然,123,480,942.6774
未だ,124,479,940.7134
買う,125,475,932.8578
駄目,126,474,930.8939
持つ,127,473,928.93
