word,rank,freq,pmw
ます,1,293,49940.3443
だ,2,209,35622.976
です,3,208,35452.5311
はい,4,173,29486.961
うん,5,158,26930.2881
の,6,111,18919.3796
為る,7,107,18237.6001
ね,8,105,17896.7104
御,9,103,17555.8207
た,10,99,16874.0412
あの,11,94,16021.8169
で,12,93,15851.3721
か,13,90,15340.0375
は,14,88,14999.1478
の,15,86,14658.2581
て,16,85,14487.8132
に,17,83,14146.9235
も,18,79,13465.144
そう,19,75,12783.3646
と,20,74,12612.9197
が,21,70,11931.1403
,22,63,10738.0262
,23,60,10226.6917
言う,24,58,9885.8019
失礼,25,55,9374.4674
か,26,49,8351.7982
てる,26,49,8351.7982
けれど,28,46,7840.4636
有る,29,45,7670.0187
あっ,30,44,7499.5739
何,31,42,7158.6842
を,32,41,6988.2393
致す,33,40,6817.7944
此方,34,39,6647.3496
って,35,37,6306.4599
成る,35,37,6306.4599
よ,37,36,6136.015
から,37,36,6136.015
無い,37,36,6136.015
で,40,35,5965.5701
いや,40,35,5965.5701
其れ,42,33,5624.6804
つ,42,33,5624.6804
此れ,44,32,5454.2356
一寸,44,32,5454.2356
ん,44,32,5454.2356
御座る,44,32,5454.2356
ああ,48,30,5113.3458
ず,48,30,5113.3458
良い,50,29,4942.901
有り難う,50,29,4942.901
まあ,52,27,4602.0112
せる,53,25,4261.1215
ない,54,24,4090.6767
もう,54,24,4090.6767
下さる,56,22,3749.7869
済む,57,21,3579.3421
御,57,21,3579.3421
どう,59,20,3408.8972
待つ,59,20,3408.8972
来る,61,18,3068.0075
彼れ,61,18,3068.0075
分かる,61,18,3068.0075
二,61,18,3068.0075
事,65,17,2897.5626
ええ,65,17,2897.5626
宜しい,67,16,2727.1178
二,68,15,2556.6729
どうぞ,68,15,2556.6729
だけ,70,14,2386.2281
飲む,70,14,2386.2281
御免,70,14,2386.2281
一,73,13,2215.7832
から,73,13,2215.7832
本当,73,13,2215.7832
後,73,13,2215.7832
け,73,13,2215.7832
物,73,13,2215.7832
えっ,79,12,2045.3383
と,79,12,2045.3383
今,79,12,2045.3383
大丈夫,79,12,2045.3383
人,83,11,1874.8935
男の子,83,11,1874.8935
な,85,10,1704.4486
思う,85,10,1704.4486
一,85,10,1704.4486
が,85,10,1704.4486
女の子,85,10,1704.4486
遣る,90,9,1534.0037
ちゃう,90,9,1534.0037
つう,90,9,1534.0037
くらい,90,9,1534.0037
方,90,9,1534.0037
前,90,9,1534.0037
未だ,90,9,1534.0037
四,90,9,1534.0037
頂く,90,9,1534.0037
会,90,9,1534.0037
ハイ,90,9,1534.0037
ば,101,8,1363.5589
使う,101,8,1363.5589
訳,101,8,1363.5589
別,101,8,1363.5589
一人,101,8,1363.5589
先,101,8,1363.5589
為さる,101,8,1363.5589
以上,101,8,1363.5589
注文,101,8,1363.5589
合,101,8,1363.5589
さん,111,7,1193.114
し,111,7,1193.114
入る,111,7,1193.114
奴,111,7,1193.114
えー,111,7,1193.114
そんな,111,7,1193.114
気,111,7,1193.114
僕,111,7,1193.114
置く,111,7,1193.114
付ける,111,7,1193.114
様,111,7,1193.114
生,111,7,1193.114
伺う,111,7,1193.114
クボタ,111,7,1193.114
其の,125,6,1022.6692
凄い,125,6,1022.6692
居る,125,6,1022.6692
此の,125,6,1022.6692
矢張り,125,6,1022.6692
へえ,125,6,1022.6692
食べる,125,6,1022.6692
十,125,6,1022.6692
その,125,6,1022.6692
えーと,125,6,1022.6692
俺,125,6,1022.6692
三,125,6,1022.6692
知る,125,6,1022.6692
先生,125,6,1022.6692
とく,125,6,1022.6692
此の間,125,6,1022.6692
願う,125,6,1022.6692
よいしょ,125,6,1022.6692
客,125,6,1022.6692
塩,125,6,1022.6692
