word,rank,freq,pmw
ます,1,720,40916.0652
うん,2,660,37506.3931
だ,3,630,35801.5571
です,4,457,25970.3359
はい,5,433,24606.467
た,6,416,23640.3932
ね,7,374,21253.6228
御,8,302,17162.0163
の,9,300,17048.3605
の,10,299,16991.5326
為る,11,295,16764.2212
て,12,284,16139.1146
で,13,256,14547.9343
が,14,246,13979.6556
に,15,239,13581.8605
か,16,232,13184.0655
は,17,214,12161.1638
も,17,214,12161.1638
と,19,207,11763.3688
か,20,205,11649.713
てる,21,191,10854.1229
そう,22,185,10513.1557
よ,23,181,10285.8442
,24,180,10229.0163
ない,25,174,9888.0491
失礼,25,174,9888.0491
言う,27,166,9433.4262
って,28,152,8637.836
何,29,151,8581.0081
あっ,30,142,8069.5573
致す,31,135,7671.7622
,32,134,7614.9344
あの,33,130,7387.6229
此方,34,120,6819.3442
から,35,113,6421.5491
で,36,104,5910.0983
良い,37,100,5682.7868
御座る,37,100,5682.7868
無い,39,96,5455.4754
を,39,96,5455.4754
けれど,41,93,5284.9918
ああ,42,86,4887.1967
有る,42,86,4887.1967
此れ,44,83,4716.7131
成る,44,83,4716.7131
ず,46,80,4546.2295
な,47,70,3977.9508
の,48,69,3921.1229
済む,48,69,3921.1229
其れ,50,67,3807.4672
つ,51,66,3750.6393
一寸,52,65,3693.8114
待つ,52,65,3693.8114
行く,54,64,3636.9836
せる,55,63,3580.1557
有り難う,56,62,3523.3278
ちゃう,57,60,3409.6721
ん,57,60,3409.6721
ふん,59,57,3239.1885
もう,60,56,3182.3606
ちゃん,61,55,3125.5328
来る,62,51,2898.2213
から,63,48,2727.7377
まあ,64,47,2670.9098
分かる,65,46,2614.0819
と,66,45,2557.2541
下さる,66,45,2557.2541
いや,68,43,2443.5983
思う,69,39,2216.2869
へえ,69,39,2216.2869
どうぞ,69,39,2216.2869
遣る,72,37,2102.6311
大丈夫,72,37,2102.6311
つう,74,36,2045.8033
ええ,74,36,2045.8033
見る,74,36,2045.8033
二,74,36,2045.8033
事,78,35,1988.9754
どう,78,35,1988.9754
食べる,78,35,1988.9754
一,78,35,1988.9754
方,82,34,1932.1475
御,82,34,1932.1475
みたい,84,33,1875.3197
凄い,84,33,1875.3197
宜しい,84,33,1875.3197
えっ,87,32,1818.4918
さ,88,31,1761.6639
本当,88,31,1761.6639
だけ,90,29,1648.0082
使う,90,29,1648.0082
一,92,28,1591.1803
今,92,28,1591.1803
此の,94,27,1534.3524
前,95,26,1477.5246
畏まる,95,26,1477.5246
くらい,97,25,1420.6967
け,97,25,1420.6967
先生,97,25,1420.6967
御免,97,25,1420.6967
二,97,25,1420.6967
彼れ,102,24,1363.8688
こう,102,24,1363.8688
出来る,102,24,1363.8688
五,102,24,1363.8688
君,102,24,1363.8688
下げる,102,24,1363.8688
レオ,102,24,1363.8688
さん,109,23,1307.041
俺,109,23,1307.041
三,109,23,1307.041
飲む,109,23,1307.041
居る,113,22,1250.2131
違う,113,22,1250.2131
ば,113,22,1250.2131
奴,113,22,1250.2131
持つ,113,22,1250.2131
頂く,113,22,1250.2131
生,113,22,1250.2131
百,113,22,1250.2131
其の,121,21,1193.3852
後,121,21,1193.3852
以上,121,21,1193.3852
十,124,20,1136.5574
たい,124,20,1136.5574
ハルヤ,124,20,1136.5574
私,127,19,1079.7295
物,127,19,1079.7295
万,127,19,1079.7295
為さる,127,19,1079.7295
れる,131,18,1022.9016
六,131,18,1022.9016
付ける,131,18,1022.9016
其処,134,17,966.0738
皆,134,17,966.0738
はあ,134,17,966.0738
し,137,16,909.2459
入る,137,16,909.2459
未だ,137,16,909.2459
置く,137,16,909.2459
ビール,137,16,909.2459
えーと,142,15,852.418
月,142,15,852.418
中,142,15,852.418
タイワン,142,15,852.418
取る,146,14,795.5902
えー,146,14,795.5902
高い,146,14,795.5902
一人,146,14,795.5902
より,146,14,795.5902
様,146,14,795.5902
伺う,146,14,795.5902
此処,153,13,738.7623
まで,153,13,738.7623
知る,153,13,738.7623
入れる,153,13,738.7623
年,153,13,738.7623
所,153,13,738.7623
呉れる,153,13,738.7623
四,153,13,738.7623
達,153,13,738.7623
的,153,13,738.7623
円,153,13,738.7623
とく,153,13,738.7623
一番,153,13,738.7623
サラダ,153,13,738.7623
ハイ,153,13,738.7623
矢張り,168,12,681.9344
二十,168,12,681.9344
日,168,12,681.9344
人,168,12,681.9344
先,168,12,681.9344
豆腐,168,12,681.9344
男の子,168,12,681.9344
ホット,168,12,681.9344
時,176,11,625.1066
出る,176,11,625.1066
美味しい,176,11,625.1066
貰う,176,11,625.1066
気,176,11,625.1066
何時,176,11,625.1066
会,176,11,625.1066
が,176,11,625.1066
女の子,176,11,625.1066
木の芽,176,11,625.1066
じゃん,186,10,568.2787
多分,186,10,568.2787
訳,186,10,568.2787
時,186,10,568.2787
聞く,186,10,568.2787
そんな,186,10,568.2787
何,186,10,568.2787
そう,186,10,568.2787
別,186,10,568.2787
出す,186,10,568.2787
誰,186,10,568.2787
僕,186,10,568.2787
日本,186,10,568.2787
生,186,10,568.2787
色々,186,10,568.2787
御飯,186,10,568.2787
茶,186,10,568.2787
明日,186,10,568.2787
ワイン,186,10,568.2787
熱い,186,10,568.2787
塩,186,10,568.2787
醤油,186,10,568.2787
