WORD,FREQUENCY_RANKING
の,1
て,2
だ,3
と,4
に,5
は,6
が,7
を,8
た,9
ます,10
する,11
です,12
で,13
も,14
か,15
いう,16
ね,17
ない,18
ん,19
いる,20
こと,21
ある,22
から,23
って,24
よ,25
これ,26
てる,27
なる,28
この,29
思う,30
れる,31
けど,32
そう,33
それ,34
な,35
その,36
お,37
よう,38
いく,39
言う,40
人,41
やる,42
さん,43
たい,44
ちょっと,45
くる,46
もう,47
いい,48
方,49
できる,50
ば,51
ぬ,52
何,53
や,54
もの,55
見る,56
私,57
今,58
こう,59
なん,60
ここ,61
はい,62
中,63
どう,64
けれど,65
ところ,66
だけ,67
行く,68
そして,69
まで,70
自分,71
時,72
みる,73
感じ,74
ト,75
わけ,76
カ,77
くださる,78
つ,79
つく,80
たり,81
出る,82
使う,83
いただく,84
すごい,85
また,86
ござる,87
みたい,88
おる,89
こちら,90
年,91
せる,92
あ,93
られる,94
良い,95
来る,96
しまう,97
ため,98
一,99
入る,100
ちゃう,101
今日,102
あの,103
皆,104
今回,105
話,106
考える,107
俺,108
日,109
目,110
さ,111
事,112
し,113
動画,114
作る,115
僕,116
まあ,117
本当,118
おく,119
など,120
ご,121
そこ,122
円,123
よる,124
こんな,125
持つ,126
月,127
日本,128
そんな,129
上,130
まず,131
わかる,132
時間,133
あと,134
次,135
前,136
くれる,137
ま,138
ら,139
たち,140
ありがとう,141
より,142
結構,143
分かる,144
うん,145
え,146
いや,147
へ,148
入れる,149
いける,150
まぁ,151
ながら,152
後,153
食べる,154
ぐらい,155
じゃあ,156
場合,157
違う,158
買う,159
必要,160
とき,161
ふう,162
しれる,163
書く,164
願う,165
聞く,166
やっぱり,167
い,168
気,169
待つ,170
問題,171
分,172
対する,173
多い,174
店,175
あなた,176
行う,177
同じ,178
ただ,179
弟,180
回,181
最後,182
くらい,183
者,184
出す,185
例えば,186
知る,187
とる,188
みんな,189
まだ,190
あれ,191
本,192
あっ,193
なぁ,194
わ,195
カンタ,196
非常,197
出来る,198
情報,199
様,200
高い,201
シルク,202
よく,203
以上,204
的,205
一番,206
見える,207
紹介,208
トミー,209
形,210
誰,211
少し,212
やつ,213
す,214
もらう,215
じゃん,216
やすい,217
ぜひ,218
世界,219
実,220
好き,221
しか,222
チャンネル,223
意味,224
あー,225
最初,226
どこ,227
しっかり,228
実際,229
普通,230
なんか,231
ちゃん,232
状態,233
こっち,234
めっちゃ,235
もし,236
全部,237
状況,238
風,239
他,240
無い,241
ああ,242
ねぇ,243
よい,244
つける,245
国,246
部分,247
関係,248
っ,249
強い,250
下,251
第,252
ぞ,253
美味しい,254
全然,255
シ,256
変わる,257
お前,258
多分,259
個,260
物,261
終わる,262
手,263
髙,264
一緒,265
音,266
絶対,267
間,268
あぁ,269
取る,270
新しい,271
大きい,272
まま,273
大丈夫,274
二,275
関する,276
ほう,277
頑張る,278
いたす,279
もん,280
登録,281
もっと,282
言葉,283
所,284
じゃ,285
人間,286
アメリカ,287
神,288
ちゃんと,289
上がる,290
彼,291
私たち,292
別,293
説明,294
力,295
悪い,296
受ける,297
生きる,298
ぁ,299
り,300
ほんと,301
べし,302
しかし,303
かける,304
お金,305
えっ,306
やばい,307
点,308
いろんな,309
ポイント,310
数,311
怖い,312
始める,313
データ,314
面白い,315
ずっと,316
おいしい,317
ほど,318
さらに,319
いろいろ,320
よろしく,321
すぎる,322
大きな,323
頂く,324
もちろん,325
先,326
いただける,327
たくさん,328
結果,329
なかなか,330
特に,331
足,332
カード,333
時代,334
方法,335
おつ,336
とても,337
難しい,338
中国,339
仕事,340
色々,341
会社,342
どういう,343
早い,344
家,345
置く,346
場所,347
よし,348
色,349
確認,350
どんどん,351
下さる,352
かかる,353
すぐ,354
どんな,355
えー,356
心,357
思い,358
簡単,359
質問,360
大事,361
水,362
なんて,363
ンダホ,364
気持ち,365
あげる,366
最近,367
ゲーム,368
長い,369
君,370
さっき,371
なり,372
続ける,373
でる,374
つまり,375
う,376
重要,377
とも,378
楽しい,379
描く,380
なぜ,381
環境,382
生活,383
確か,384
続く,385
うち,386
話す,387
かなり,388
等,389
あまり,390
是非,391
売る,392
側,393
いっぱい,394
対応,395
東京,396
いつも,397
ン,398
辺,399
今まで,400
あるいは,401
先生,402
やっぱ,403
こんにちは,404
声,405
動く,406
らしい,407
ぇ,408
なに,409
現在,410
内容,411
ねー,412
切る,413
顔,414
社会,415
味,416
読む,417
学校,418
ご覧,419
大変,420
子供,421
枚,422
逆,423
感ずる,424
開く,425
ダメ,426
橋,427
変える,428
伝える,429
教える,430
なるほど,431
企業,432
マジ,433
地域,434
評価,435
映画,436
うまい,437
知事,438
どの,439
先ほど,440
可能性,441
戻る,442
乗る,443
多く,444
体,445
やはり,446
