word,rank,freq,pmw
だ,1,80969,48779.6503
うん,2,80709,48623.0137
ね,3,44214,26636.6567
た,4,41882,25231.7469
の,5,36546,22017.0818
て,6,36016,21697.7841
そう,7,35476,21372.462
,8,27288,16439.6139
か,9,26707,16089.5913
の,10,26575,16010.0681
よ,11,25916,15613.0546
で,12,25779,15530.5191
が,13,25449,15331.7111
も,14,24789,14934.0951
てる,15,23551,14188.2639
は,16,23497,14155.7317
に,17,23451,14128.0191
と,18,22103,13315.9186
何,19,21872,13176.753
って,20,21435,12913.483
ない,21,19010,11452.5454
言う,22,18698,11264.5815
です,23,17552,10574.1756
為る,24,17026,10257.2877
から,25,15915,9587.9674
か,26,15834,9539.1691
ああ,27,15394,9274.0918
あっ,28,14643,8821.653
無い,29,13964,8412.5905
あの,30,11447,6896.2276
けれど,31,11142,6712.4809
の,32,11078,6673.9242
良い,33,10734,6466.6819
な,34,10636,6407.6419
で,35,10583,6375.7122
其れ,36,10017,6034.7263
有る,37,9925,5979.3011
もう,38,9479,5710.6091
はい,39,9353,5634.7005
さ,40,9341,5627.4712
行く,41,9083,5472.0395
御,42,8077,4865.9763
を,43,8012,4826.8172
ます,44,7150,4307.5066
此れ,45,7036,4238.8274
遣る,46,6904,4159.3042
まあ,47,6454,3888.2024
いや,48,6412,3862.8996
思う,49,6347,3823.7404
成る,50,6261,3771.9299
来る,51,6169,3716.5046
えっ,52,5803,3496.0085
さん,53,5673,3417.6902
彼れ,54,5382,3242.3777
一寸,55,5191,3127.31
凄い,56,5184,3123.0929
ちゃう,57,5162,3109.839
みたい,58,4903,2953.8049
事,59,4840,2915.8506
つう,60,4783,2881.511
人,61,4580,2759.214
居る,62,4524,2725.4769
と,63,4485,2701.9814
其の,64,4474,2695.3545
こう,65,4411,2657.4002
分かる,66,4207,2534.5007
,67,4199,2529.6811
一,68,4033,2429.6747
ええ,69,3922,2362.8029
本当,70,3865,2328.4633
から,71,3851,2320.0291
ふん,72,3771,2271.8332
見る,73,3735,2250.145
私,74,3731,2247.7352
じゃん,75,3551,2139.2945
ちゃん,75,3551,2139.2945
今,77,3434,2068.808
食べる,78,3422,2061.5787
へえ,79,3388,2041.0954
ん,80,3367,2028.444
くらい,81,3219,1939.2816
時,82,3195,1924.8229
矢張り,83,3019,1818.7919
違う,84,3014,1815.7797
どう,85,2952,1778.4279
れる,86,2794,1683.241
此の,87,2549,1535.6412
し,88,2520,1518.1701
俺,89,2482,1495.2771
方,90,2355,1418.7661
二,91,2272,1368.7629
もの,92,2259,1360.9311
け,93,2215,1334.4234
ば,94,2183,1315.145
その,95,2182,1314.5426
其処,96,2166,1304.9034
後,97,2160,1301.2887
だけ,98,2149,1294.6618
たい,99,2104,1267.5516
美味しい,100,2092,1260.3222
感じ,101,2069,1246.4659
ほら,102,2037,1227.1875
此処,103,2008,1209.7165
ず,104,1984,1195.2578
出る,105,1966,1184.4137
入る,106,1960,1180.799
皆,107,1904,1147.0619
奴,108,1897,1142.8447
出来る,109,1887,1136.8203
前,110,1859,1119.9517
多分,111,1848,1113.3248
三,112,1823,1098.2636
彼の,113,1802,1085.6121
十,114,1775,1069.346
まで,115,1766,1063.924
結構,116,1713,1031.9942
全然,117,1711,1030.7893
知る,118,1700,1024.1624
年,119,1655,997.0522
何処,120,1623,977.7739
そんな,121,1608,968.7371
飲む,122,1562,941.0245
取る,123,1500,903.6727
話,124,1490,897.6482
たり,125,1488,896.4433
訳,126,1461,880.1772
持つ,127,1442,868.7307
所,128,1414,851.8621
呉れる,129,1410,849.4523
此方,130,1404,845.8377
駄目,131,1401,844.0303
大丈夫,132,1385,834.3911
