word,rank,freq,pmw
だ,1,890,50098.5083
て,2,533,30002.8145
た,3,471,26512.8061
うん,4,457,25724.7397
の,5,450,25330.7064
ね,6,412,23191.669
か,7,329,18519.5609
で,7,329,18519.5609
と,9,281,15817.6189
は,10,279,15705.038
よ,11,276,15536.1666
が,12,253,14241.4861
何,13,246,13847.4529
そう,14,245,13791.1624
も,15,244,13734.8719
です,16,241,13566.0006
に,17,240,13509.7101
か,18,237,13340.8387
の,19,226,12721.6437
良い,19,226,12721.6437
てる,21,225,12665.3532
ない,22,221,12440.1914
為る,23,200,11258.0918
って,24,193,10864.0585
あっ,25,173,9738.2494
,26,171,9625.6684
言う,27,166,9344.2162
無い,28,161,9062.7639
けれど,29,155,8725.0211
な,30,149,8387.2784
遣る,31,138,7768.0833
で,32,131,7374.0501
さ,33,118,6642.2741
から,34,117,6585.9837
まあ,35,114,6417.1123
一寸,36,113,6360.8218
此れ,37,111,6248.2409
えっ,38,107,6023.0791
ます,39,106,5966.7886
もう,39,106,5966.7886
其れ,41,104,5854.2077
思う,42,101,5685.3363
ああ,43,98,5516.465
はい,44,96,5403.884
有る,45,88,4953.5604
見る,46,85,4784.689
の,47,84,4728.3985
行く,48,82,4615.8176
来る,48,82,4615.8176
私,50,81,4559.5272
を,51,79,4446.9462
ちゃん,52,78,4390.6558
みたい,53,77,4334.3653
成る,54,73,4109.2035
いや,55,70,3940.3321
待つ,56,69,3884.0417
あの,57,68,3827.7512
どう,58,63,3546.2989
つう,59,61,3433.718
ちゃう,60,60,3377.4275
事,61,58,3264.8466
一,62,56,3152.2657
こう,63,55,3095.9752
多分,63,55,3095.9752
と,65,54,3039.6848
彼れ,66,48,2701.942
二,66,48,2701.942
ば,66,48,2701.942
御,69,47,2645.6516
から,70,45,2533.0706
方,71,43,2420.4897
奴,71,43,2420.4897
分かる,73,42,2364.1993
此処,73,42,2364.1993
先生,73,42,2364.1993
此の,76,41,2307.9088
其の,77,39,2195.3279
出来る,77,39,2195.3279
年,79,38,2139.0374
歳,80,37,2082.747
本当,81,36,2026.4565
し,82,34,1913.8756
