word,rank,freq,pmw
だ,1,2464,45939.2945
うん,2,1835,34212.0964
ね,3,1503,28022.2239
た,4,1340,24983.2202
て,5,1176,21925.5724
の,6,1115,20788.2765
そう,7,1024,19091.6549
が,8,973,18140.801
の,9,932,17376.389
か,10,925,17245.8796
よ,11,892,16630.6212
何,12,805,15008.5763
,13,800,14915.3554
に,14,762,14206.876
も,15,757,14113.655
てる,16,751,14001.7898
で,17,734,13684.8385
は,18,687,12808.5614
って,19,643,11988.2169
あっ,20,642,11969.5727
か,21,634,11820.4191
と,22,617,11503.4678
です,23,607,11317.0259
ない,24,604,11261.0933
ああ,25,572,10664.4791
為る,26,558,10403.4604
言う,27,549,10235.6626
無い,28,437,8147.5129
此れ,29,411,7662.7638
な,30,403,7513.6103
良い,31,394,7345.8125
から,32,358,6674.6215
行く,33,349,6506.8238
有る,34,324,6040.7189
けれど,35,314,5854.277
御,36,310,5779.7002
はい,37,295,5500.0373
の,38,287,5350.8837
来る,39,272,5071.2208
ます,40,269,5015.2882
一寸,41,266,4959.3557
あの,42,264,4922.0673
で,42,264,4922.0673
を,42,264,4922.0673
其れ,45,246,4586.4718
もう,46,236,4400.0298
居る,47,217,4045.7901
成る,48,205,3822.0598
凄い,49,201,3747.483
ちゃう,50,199,3710.1946
彼れ,51,197,3672.9063
さ,52,192,3579.6853
ちゃん,53,191,3561.0411
遣る,54,187,3486.4643
いや,55,184,3430.5317
えっ,55,184,3430.5317
へえ,57,176,3281.3782
此処,57,176,3281.3782
思う,59,173,3225.4456
ふん,60,171,3188.1572
見る,61,169,3150.8688
此の,61,169,3150.8688
さん,63,163,3039.0037
事,64,158,2945.7827
本当,65,155,2889.8501
こう,66,153,2852.5617
と,67,144,2684.764
みたい,68,137,2554.2546
まあ,69,130,2423.7452
分かる,70,124,2311.8801
此方,71,123,2293.2359
から,72,122,2274.5917
違う,73,117,2181.3707
人,74,115,2144.0823
,75,112,2088.1498
私,75,112,2088.1498
ええ,77,109,2032.2172
食べる,78,107,1994.9288
ほら,79,101,1883.0636
其の,80,97,1808.4868
つう,81,93,1733.9101
今,82,91,1696.6217
くらい,82,91,1696.6217
方,84,90,1677.9775
どう,85,89,1659.3333
入る,86,88,1640.6891
彼の,86,88,1640.6891
一,88,87,1622.0449
其処,89,84,1566.1123
ん,90,83,1547.4681
矢張り,91,82,1528.8239
れる,92,79,1472.8913
出る,92,79,1472.8913
時,94,77,1435.603
ば,94,77,1435.603
持つ,94,77,1435.603
何処,97,76,1416.9588
たい,98,73,1361.0262
はあ,98,73,1361.0262
じゃん,100,68,1267.8052
感じ,100,68,1267.8052
し,102,67,1249.161
結構,102,67,1249.161
だけ,104,64,1193.2284
知る,104,64,1193.2284
全然,106,63,1174.5842
,106,63,1174.5842
取る,108,62,1155.94
可愛い,108,62,1155.94
け,110,61,1137.2958
一杯,110,61,1137.2958
もの,112,59,1100.0075
大丈夫,112,59,1100.0075
奇麗,112,59,1100.0075
皆,115,58,1081.3633
上,115,58,1081.3633
後,117,56,1044.0749
奴,117,56,1044.0749
君,117,56,1044.0749
たり,120,55,1025.4307
余り,121,54,1006.7865
おお,121,54,1006.7865
彼処,123,53,988.1423
子,124,52,969.4981
鳥,124,52,969.4981
様,126,51,950.8539
多分,127,50,932.2097
駄目,128,49,913.5655
百,128,49,913.5655
ず,130,48,894.9213
そう,130,48,894.9213
木,130,48,894.9213
家,133,46,857.6329
確か,133,46,857.6329
水,133,46,857.6329
未だ,136,45,838.9887
達,136,45,838.9887
返る,136,45,838.9887
さっき,139,44,820.3445
ママ,139,44,820.3445
今日,141,43,801.7004
小さい,141,43,801.7004
所,143,42,783.0562
中,143,42,783.0562
誰,143,42,783.0562
あれ,143,42,783.0562
歩く,143,42,783.0562
前,148,41,764.412
書く,148,41,764.412
回,148,41,764.412
成る程,148,41,764.412
又,148,41,764.412
見える,148,41,764.412
あら,148,41,764.412
そんな,155,40,745.7678
呉れる,155,40,745.7678
気,155,40,745.7678
分,155,40,745.7678
どうぞ,155,40,745.7678
茶,155,40,745.7678
花,155,40,745.7678
えーと,162,39,727.1236
買う,162,39,727.1236
辺,162,39,727.1236
出来る,165,37,689.8352
使う,165,37,689.8352
知れる,165,37,689.8352
顔,165,37,689.8352
まで,169,36,671.191
マッシュ,169,36,671.191
年,171,35,652.5468
訳,171,35,652.5468
所,171,35,652.5468
意味,171,35,652.5468
おっ,171,35,652.5468
何,176,34,633.9026
蛍,176,34,633.9026
木の芽,176,34,633.9026
自分,179,33,615.2584
歌,179,33,615.2584
十,181,32,596.6142
入れる,181,32,596.6142
的,181,32,596.6142
多い,181,32,596.6142
手,181,32,596.6142
よいしょ,181,32,596.6142
落ちる,181,32,596.6142
わあ,181,32,596.6142
貰う,189,31,577.97
下さる,189,31,577.97
嫌,189,31,577.97
らしい,189,31,577.97
ぽい,189,31,577.97
聞く,194,30,559.3258
色,194,30,559.3258
三,196,29,540.6816
美味しい,196,29,540.6816
物,196,29,540.6816
先生,196,29,540.6816
わ,196,29,540.6816
何時,196,29,540.6816
面白い,196,29,540.6816
パパ,196,29,540.6816
作る,204,28,522.0374
飲む,204,28,522.0374
付く,204,28,522.0374
頑張る,204,28,522.0374
飛ぶ,204,28,522.0374
俺,209,27,503.3932
日,209,27,503.3932
てく,209,27,503.3932
何方,209,27,503.3932
二,213,26,484.749
一緒,213,26,484.749
僕,213,26,484.749
向こう,213,26,484.749
うわ,213,26,484.749
下,218,25,466.1049
や,218,25,466.1049
ミニ,218,25,466.1049
小啄木鳥,218,25,466.1049
とく,222,24,447.4607
待つ,222,24,447.4607
付ける,222,24,447.4607
怖い,222,24,447.4607
もっと,222,24,447.4607
痛い,222,24,447.4607
名前,222,24,447.4607
よし,222,24,447.4607
歌う,222,24,447.4607
ヤッ,222,24,447.4607
赤い,222,24,447.4607
染める,222,24,447.4607
川蝉,222,24,447.4607
円,235,23,428.8165
有り難う,235,23,428.8165
こんな,235,23,428.8165
やばい,235,23,428.8165
終わる,235,23,428.8165
大きい,235,23,428.8165
なんて,235,23,428.8165
咲く,235,23,428.8165
大師,235,23,428.8165
その,244,22,410.1723
話,244,22,410.1723
全部,244,22,410.1723
しか,244,22,410.1723
られる,244,22,410.1723
んー,244,22,410.1723
より,244,22,410.1723
園,244,22,410.1723
城,244,22,410.1723
二十,253,21,391.5281
良く,253,21,391.5281
ちゃんと,253,21,391.5281
絶対,253,21,391.5281
学校,253,21,391.5281
御腹,253,21,391.5281
ノビ,253,21,391.5281
海,253,21,391.5281
時間,261,20,372.8839
御座る,261,20,372.8839
物,261,20,372.8839
風,261,20,372.8839
子供,261,20,372.8839
昔,261,20,372.8839
何れ,261,20,372.8839
丁度,261,20,372.8839
彼方,261,20,372.8839
走る,261,20,372.8839
上る,261,20,372.8839
鶺鴒,261,20,372.8839
五,273,19,354.2397
高い,273,19,354.2397
早い,273,19,354.2397
一応,273,19,354.2397
足,273,19,354.2397
桜,273,19,354.2397
痩せる,273,19,354.2397
痒い,273,19,354.2397
階段,273,19,354.2397
四,282,18,335.5955
えー,282,18,335.5955
置く,282,18,335.5955
上げる,282,18,335.5955
なんか,282,18,335.5955
最近,282,18,335.5955
さ,282,18,335.5955
寝る,282,18,335.5955
一杯,282,18,335.5955
石,282,18,335.5955
鴨,282,18,335.5955
紅葉,282,18,335.5955
天守,282,18,335.5955
そんな,295,17,316.9513
大変,295,17,316.9513
等,295,17,316.9513
無理,295,17,316.9513
忘れる,295,17,316.9513
取れる,295,17,316.9513
頭,295,17,316.9513
ちび,295,17,316.9513
松,295,17,316.9513
アツシ,295,17,316.9513
水澄まし,295,17,316.9513
つ,306,16,298.3071
別,306,16,298.3071
普通,306,16,298.3071
頂く,306,16,298.3071
方,306,16,298.3071
二人,306,16,298.3071
其方,306,16,298.3071
上がる,306,16,298.3071
間,306,16,298.3071
回る,306,16,298.3071
道,306,16,298.3071
難い,306,16,298.3071
白い,306,16,298.3071
門,306,16,298.3071
しゃかしゃか,306,16,298.3071
竹炭,306,16,298.3071
一番,322,15,279.6629
ずっと,322,15,279.6629
日本,322,15,279.6629
旨い,322,15,279.6629
止める,322,15,279.6629
目茶,322,15,279.6629
父,322,15,279.6629
様,322,15,279.6629
易い,322,15,279.6629
楽しい,322,15,279.6629
教える,322,15,279.6629
初めて,322,15,279.6629
系,322,15,279.6629
でかい,322,15,279.6629
あんな,322,15,279.6629
公園,322,15,279.6629
温かい,322,15,279.6629
渡る,322,15,279.6629
牛蒡,322,15,279.6629
オリベ,322,15,279.6629
南無阿弥陀仏,322,15,279.6629
出す,343,14,261.0187
好き,343,14,261.0187
御前,343,14,261.0187
直ぐ,343,14,261.0187
覚える,343,14,261.0187
昨日,343,14,261.0187
侭,343,14,261.0187
若し,343,14,261.0187
先,343,14,261.0187
こんな,343,14,261.0187
へ,343,14,261.0187
暑い,343,14,261.0187
カメラ,343,14,261.0187
モコ,343,14,261.0187
時,357,13,242.3745
んー,357,13,242.3745
六,357,13,242.3745
