word,rank,freq,pmw
うん,1,72509,55466.4802
だ,2,61611,47129.9468
ね,3,37031,28327.2315
た,4,32420,24800.0012
て,5,30933,23662.5058
そう,6,29984,22936.5588
の,7,28916,22119.5816
か,8,22525,17230.7226
も,9,20766,15885.1581
で,10,20543,15714.572
の,11,20171,15430.0069
が,12,20147,15411.6479
,13,19448,14876.9409
に,14,19400,14840.2228
と,15,18473,14131.105
よ,16,18235,13949.0445
は,17,17920,13708.0821
てる,18,17669,13516.0772
何,19,17262,13204.7385
って,20,16730,12797.7798
ない,21,14854,11362.7149
言う,22,14734,11270.9197
です,23,14196,10859.3713
為る,24,14043,10742.3324
か,25,12803,9793.7821
あっ,26,12419,9500.0375
から,27,12043,9212.4125
ああ,28,11023,8432.1534
無い,29,10349,7916.5704
良い,30,9518,7280.8887
けれど,31,8898,6806.6135
で,32,8854,6772.9553
の,33,8222,6289.5006
あの,34,8072,6174.7566
はい,35,7733,5915.4352
有る,36,7471,5715.0157
其れ,37,7416,5672.9429
な,38,7244,5541.3698
御,39,7215,5519.186
を,40,7108,5437.3352
もう,41,7082,5417.4463
ます,42,6678,5108.4025
行く,43,6644,5082.3938
さ,44,6638,5077.8041
此れ,45,6592,5042.6159
思う,46,5728,4381.6905
遣る,47,5462,4178.2112
成る,48,4982,3811.0304
一寸,49,4961,3794.9663
私,50,4766,3645.7991
さん,51,4750,3633.5597
えっ,52,4749,3632.7948
来る,53,4704,3598.3716
まあ,54,4525,3461.4437
凄い,55,4413,3375.7682
ちゃう,56,4325,3308.4517
事,57,3867,2958.1001
みたい,58,3862,2954.2753
こう,59,3721,2846.4159
と,60,3598,2752.3259
其の,61,3591,2746.9711
人,62,3565,2727.0822
いや,63,3516,2689.5991
ええ,64,3461,2647.5263
居る,65,3418,2614.6331
本当,66,3361,2571.0304
彼れ,67,3287,2514.4233
ふん,68,3276,2506.0088
一,69,3206,2452.4616
分かる,70,3165,2421.0982
見る,71,3098,2369.8459
つう,72,3013,2304.8243
ちゃん,73,3009,2301.7645
から,74,2985,2283.4054
,75,2774,2121.9989
食べる,75,2774,2121.9989
へえ,77,2761,2112.0544
今,78,2541,1943.7632
時,79,2517,1925.4042
矢張り,80,2376,1817.5448
じゃん,81,2370,1812.9551
どう,82,2362,1806.8354
くらい,83,2340,1790.0063
此の,84,2336,1786.9464
違う,85,2281,1744.8736
ん,86,2257,1726.5146
方,87,2100,1606.4159
れる,88,2079,1590.3517
此処,89,2018,1543.6892
し,90,2017,1542.9242
感じ,91,1986,1519.2104
たい,92,1878,1436.5948
ば,93,1871,1431.24
二,94,1828,1398.3468
後,95,1758,1344.7996
だけ,96,1729,1322.6157
美味しい,97,1724,1318.7909
ほら,98,1678,1283.6028
け,99,1628,1245.3548
もの,100,1571,1201.7521
其処,101,1556,1190.2777
入る,101,1556,1190.2777
皆,103,1551,1186.4529
出る,104,1542,1179.5682
十,105,1527,1168.0938
出来る,106,1505,1151.2647
えーと,107,1494,1142.8501
多分,108,1442,1103.0722
大丈夫,109,1395,1067.1191
ず,110,1382,1057.1746
まで,111,1367,1045.7002
入れる,112,1351,1033.4609
前,113,1347,1030.401
全然,114,1346,1029.6361
三,115,1330,1017.3967
結構,116,1273,973.794
その,117,1268,969.9692
貰う,117,1268,969.9692
使う,119,1265,967.6743
彼の,120,1257,961.5546
たり,121,1254,959.2598
取る,121,1254,959.2598
持つ,123,1239,947.7854
何処,124,1224,936.311
此方,125,1213,927.8964
奴,126,1207,923.3066
呉れる,127,1203,920.2468
知る,128,1171,895.7681
買う,129,1154,882.7638
はあ,130,1143,874.3492
そんな,131,1137,869.7595
作る,132,1130,864.4047
書く,133,1097,839.1611
自分,134,1096,838.3961
家,135,1071,819.2721
所,136,1054,806.2678
未だ,137,1053,805.5028
駄目,138,1046,800.1481
時,139,1031,788.6737
様,140,1027,785.6139
話,141,1016,777.1993
年,141,1016,777.1993
所,143,1002,766.4899
達,144,991,758.0753
そう,145,978,748.1308
わ,146,945,722.8871
聞く,147,932,712.9427
先生,148,926,708.3529
そんな,148,926,708.3529
物,150,925,707.5879
気,151,915,699.9383
子,152,912,697.6435
何,153,900,688.4639
回,154,886,677.7545
飲む,155,883,675.4596
余り,156,879,672.3998
有り難う,157,870,665.5151
今日,158,868,663.9852
五,159,865,661.6903
とく,160,857,655.5707
日,161,841,643.3313
訳,162,824,630.327
又,163,823,629.562
何時,164,800,611.968
四,165,784,599.7286
好き,166,774,592.079
良く,167,773,591.314
返る,168,771,589.7841
月,169,767,586.7243
時間,170,765,585.1944
誰,171,764,584.4294
てく,172,745,569.8952
